"MonthlyIncome","ActiveSinceDays","Age","Graduate","Married","Single","NoOfChildren","NoOfTeenager","NoOfDaysSinceLastPurchase","NoOfDealsWithDiscount","NoOfWebPurchase","NoOfCatalogPurchase","NoOfStorePurchase","NoOfWebVisitsMonth","TotalNoOfCampaignAccepted","CustomerComplain","Cluster"
66426,2429,59,1,1,0,0,1,14,2,3,5,10,6,0,0,0
30822,2539,51,1,0,1,0,0,92,1,1,0,3,7,0,0,1
33581,2696,51,1,1,0,2,0,38,1,1,0,2,8,0,0,1
19986,2386,35,1,1,0,1,0,74,1,0,0,3,7,0,0,1
27421,2723,66,1,0,1,0,0,14,3,4,1,6,7,0,0,1
35688,2835,47,0,1,0,2,1,94,7,4,1,4,8,0,0,1
36143,2250,39,1,0,1,0,0,33,1,0,1,2,3,0,0,1
10245,2569,49,1,0,1,0,0,32,3,1,2,2,5,0,0,1
43795,2415,52,1,1,0,0,1,11,3,7,3,4,7,1,0,1
63381,2791,60,1,1,0,0,1,78,4,4,5,13,2,0,0,0
38823,2827,71,1,1,0,0,1,56,1,2,1,3,6,0,0,1
83664,2576,52,1,0,1,0,0,57,3,2,2,12,5,0,0,0
90300,2336,41,1,1,0,0,0,7,0,5,6,8,1,1,0,0
62499,2361,41,1,1,0,1,0,0,2,3,1,6,4,0,0,0
74293,2215,27,1,0,1,0,0,66,1,5,4,6,2,0,0,0
51012,2596,74,1,1,0,0,0,86,1,4,1,4,6,0,0,1
70777,2283,52,1,1,0,0,1,80,3,5,3,12,3,0,0,0
68682,2425,29,1,1,0,0,0,56,1,4,9,10,2,0,0,0
43824,2811,49,1,1,0,1,1,18,4,3,1,4,8,0,0,1
15345,2826,36,1,1,0,1,0,51,2,1,1,2,8,0,0,1
23442,2711,33,1,0,1,0,0,71,1,1,0,3,7,0,0,1
14515,2756,40,0,1,0,1,0,71,4,2,2,3,7,0,0,1
31395,2622,64,0,0,1,0,0,80,4,2,1,3,6,0,0,1
75276,2799,55,1,1,0,0,0,2,1,9,4,9,5,0,0,0
42373,2477,46,1,0,1,0,0,83,5,2,1,5,5,0,0,1
30507,2634,60,1,1,0,0,0,29,1,5,1,4,7,0,0,1
55521,2409,65,1,0,1,0,0,11,9,6,3,6,7,1,0,0
48006,2179,55,1,1,0,1,1,55,1,1,0,3,6,0,0,1
27213,2827,48,1,0,1,0,0,19,3,2,0,4,8,0,0,1
65808,2189,49,1,0,1,0,0,1,3,5,1,5,6,0,0,0
30351,2547,46,1,1,0,1,0,19,1,3,0,2,9,0,0,1
50437,2779,57,1,1,0,0,2,28,3,7,1,8,7,0,0,1
23616,2748,38,0,0,1,0,0,76,2,3,0,3,8,0,0,1
53858,2756,44,1,1,0,0,1,50,4,4,3,6,4,0,0,0
66465,2615,65,1,1,0,0,1,1,3,11,9,12,6,1,0,0
46923,2835,33,1,0,1,0,0,90,3,5,1,7,7,0,0,1
75072,2681,58,1,1,0,0,1,83,2,5,4,8,3,0,0,0
75865,2249,77,1,1,0,0,0,73,1,3,5,10,1,0,0,0
19789,2380,45,0,1,0,1,0,24,3,2,1,3,5,1,0,1
80134,2294,26,1,1,0,0,0,11,1,2,7,11,5,4,0,0
91065,2651,39,1,0,1,0,0,33,1,7,9,9,3,2,0,0
49505,2640,49,1,1,0,1,1,4,9,10,2,8,8,0,0,1
37401,2213,47,1,1,0,1,0,14,2,2,0,3,7,0,0,1
30096,2197,37,1,1,0,1,0,30,1,2,0,3,6,0,0,1
18492,2183,38,1,1,0,1,0,75,1,1,0,2,8,0,0,1
82584,2549,46,1,1,0,0,0,26,1,3,4,8,1,2,0,0
93027,2601,79,1,1,0,0,0,77,0,7,10,5,2,1,0,0
48686,2366,67,1,1,0,1,2,8,1,1,0,2,8,0,0,1
92910,2225,34,1,1,0,0,0,42,1,6,7,13,1,3,0,0
75433,2244,31,1,1,0,1,0,28,2,2,5,10,6,2,0,0
10404,2215,31,0,1,0,1,0,52,2,1,0,4,5,0,0,1
61314,2589,52,1,1,0,0,1,1,2,5,5,12,3,0,0,0
84865,2575,59,1,0,1,0,0,1,1,2,4,9,4,4,0,0
42387,2767,31,1,1,0,1,0,42,5,8,1,7,8,0,0,1
67309,2681,53,0,1,0,1,1,76,15,9,6,9,7,0,0,0
75236,2375,56,1,1,0,0,1,27,1,8,3,13,4,0,0,0
30015,2306,50,1,0,1,0,0,28,2,1,0,4,5,0,0,1
50943,2532,64,1,1,0,0,1,49,1,1,0,3,5,0,0,1
67272,2349,54,1,0,1,0,0,12,3,6,2,12,5,0,0,0
51529,2454,71,1,0,1,0,0,14,2,9,1,5,8,0,0,1
32011,2470,49,1,1,0,1,0,89,3,2,1,4,7,0,0,1
7500,2666,34,0,1,0,1,0,96,2,2,0,3,8,0,0,1
28691,2519,31,1,1,0,1,0,56,1,1,0,3,8,0,0,1
56223,2350,72,1,1,0,0,1,72,2,2,1,5,4,0,0,0
18100,2486,74,1,1,0,0,0,14,1,0,0,3,5,0,0,1
30279,2705,31,1,0,1,0,0,13,1,1,0,3,8,0,0,1
20130,2263,46,0,1,0,0,0,99,1,1,0,3,8,0,0,1
23295,2510,61,1,0,1,0,0,72,1,1,0,2,8,0,0,1
42618,2422,48,1,0,1,0,0,92,2,5,0,4,8,0,0,1
81246,2341,56,1,0,1,0,0,87,1,4,5,7,1,2,0,0
24027,2544,44,1,1,0,1,0,7,2,2,0,3,8,0,0,1
55707,2348,67,1,1,0,0,1,91,2,3,2,9,3,0,0,0
57959,2582,65,1,0,1,0,0,71,5,4,7,11,3,0,0,0
56796,2657,51,1,1,0,0,1,24,3,8,9,7,7,0,0,0
36230,2414,49,1,0,1,0,0,17,1,2,0,4,5,0,0,1
70829,2369,40,0,1,0,1,1,87,2,4,2,8,3,0,0,0
65991,2819,44,1,1,0,0,1,21,3,9,5,10,7,0,0,0
38988,2837,48,1,1,0,1,2,90,7,5,1,6,8,0,0,1
89572,2811,54,0,0,1,0,0,44,1,7,7,9,4,2,0,0
42207,2613,36,1,1,0,1,0,71,4,4,1,5,6,1,0,1
50300,2194,68,1,1,0,0,1,52,2,2,1,8,2,0,0,1
66664,2801,38,0,1,0,0,0,78,1,5,7,6,3,0,0,0
60597,2338,56,1,1,0,0,1,2,4,2,2,8,7,1,0,0
70165,2439,71,1,0,1,0,0,60,1,3,7,11,1,0,0,0
50520,2311,62,1,0,1,0,0,25,2,3,1,3,6,0,0,1
80124,2162,57,1,1,0,0,0,47,1,3,7,8,1,1,0,0
33183,2284,45,1,1,0,1,0,46,2,4,0,3,7,0,0,1
66582,2277,51,1,0,1,0,0,83,1,2,8,9,1,0,0,0
75261,2591,65,1,1,0,0,0,17,1,5,6,5,2,2,0,0
31880,2765,50,1,0,1,0,0,13,1,1,0,2,8,0,0,1
53790,2274,69,1,1,0,0,2,86,3,7,2,8,6,0,0,0
49269,2842,49,1,1,0,1,0,92,3,7,3,12,7,0,0,1
61456,2618,45,1,1,0,0,1,47,4,6,10,13,4,0,0,0
37406,2421,40,1,1,0,1,0,18,1,1,0,2,8,0,0,1
56937,2853,39,1,1,0,1,0,81,7,8,6,9,6,1,0,0
38415,2702,42,1,1,0,1,1,91,2,1,0,3,7,0,0,1
20518,2201,32,1,0,1,0,0,58,1,1,1,2,5,0,0,1
62503,2655,64,1,1,0,0,1,40,4,8,3,11,5,0,0,0
41644,2210,48,1,0,1,0,0,67,2,1,0,3,3,0,0,1
55842,2196,43,1,1,0,0,1,19,1,7,1,8,5,0,0,0
62010,2773,48,1,1,0,0,1,93,4,6,2,7,5,0,0,0
41124,2765,43,1,1,0,1,0,41,7,7,3,4,8,0,0,1
38961,2340,47,1,1,0,1,0,60,1,2,1,2,7,0,0,1
37760,2481,48,1,0,1,0,0,54,1,2,0,3,6,0,0,1
32233,2838,46,1,0,1,0,0,26,2,6,2,2,9,1,0,1
43057,2401,45,1,1,0,0,1,30,4,4,2,5,5,0,0,1
83151,2786,60,1,1,0,0,0,93,1,5,9,4,3,0,0,0
78825,2812,56,1,0,1,0,0,35,1,5,10,13,3,0,0,0
65104,2386,44,1,1,0,0,1,4,2,3,5,7,7,0,0,0
60093,2527,46,1,1,0,0,1,92,2,7,2,10,6,0,0,0
14045,2313,51,1,1,0,1,0,24,1,1,0,3,7,0,0,1
28457,2768,68,0,0,1,0,0,96,1,4,1,4,8,0,0,1
78952,2802,62,1,1,0,0,1,11,2,2,5,12,6,0,0,0
46310,2732,44,1,0,1,0,0,99,2,6,1,5,8,0,0,1
76005,2651,65,1,1,0,0,0,72,1,3,5,13,6,1,0,0
58308,2692,56,1,0,1,0,0,77,4,2,6,3,8,0,0,0
55614,2373,76,1,0,1,0,0,85,1,9,4,6,7,1,0,0
59432,2601,58,1,0,1,0,0,88,3,5,3,11,5,0,0,0
55563,2244,42,1,0,1,0,0,22,1,2,0,3,3,0,0,0
78642,2593,49,1,1,0,0,1,83,1,4,9,4,6,0,0,0
67911,2197,71,1,1,0,0,1,63,3,6,7,11,3,0,0,0
65275,2611,76,1,1,0,0,0,9,1,4,3,13,2,0,0,0
27203,2851,70,1,1,0,1,1,92,2,1,1,2,8,0,0,1
48330,2385,59,1,1,0,0,1,2,1,1,0,3,5,0,0,1
24279,2706,30,0,1,0,0,0,6,1,4,1,3,8,0,0,1
64355,2833,35,1,1,0,1,0,66,2,4,3,12,8,0,0,0
50943,2532,64,1,1,0,0,1,49,1,1,0,3,5,0,0,1
53653,2758,67,1,0,1,0,0,29,2,10,4,12,6,0,0,0
65665,2368,44,1,1,0,0,1,77,1,5,10,8,3,0,0,0
81217,2504,31,1,0,1,0,0,77,1,3,7,11,1,0,0,0
34935,2532,28,1,1,0,0,0,71,1,2,1,4,7,0,0,1
61250,2719,61,1,0,1,0,0,49,6,5,2,12,5,0,0,0
39665,2559,39,1,1,0,1,0,97,3,4,2,3,7,1,0,1
60152,2617,41,1,0,1,0,0,6,1,6,4,12,3,0,0,0
48920,2411,56,1,1,0,0,2,93,3,6,2,5,7,1,0,1
89120,2263,61,1,1,0,0,0,78,1,5,6,7,1,1,0,0
44124,2573,74,1,1,0,0,1,62,4,6,2,5,8,0,0,1
81169,2600,45,1,0,1,0,0,47,1,5,7,9,2,0,0,0
36443,2670,59,1,1,0,1,1,9,4,3,1,3,8,0,0,1
26095,2523,30,1,0,1,0,0,77,1,1,0,3,7,0,0,1
71367,2469,61,1,1,0,0,0,24,1,4,5,7,2,0,0,0
80184,2279,76,1,1,0,0,0,19,1,6,3,10,3,2,0,0
30630,2312,55,1,0,1,0,0,67,2,2,0,3,7,0,0,1
73454,2279,33,1,0,1,0,0,95,1,2,4,6,5,1,0,0
42691,2476,29,1,1,0,0,0,48,1,5,1,6,5,0,0,1
70503,2796,67,1,1,0,0,0,73,1,2,4,9,6,2,0,0
25545,2818,33,1,1,0,1,0,35,3,2,2,3,6,0,0,1
32880,2731,34,1,1,0,1,0,76,1,1,0,3,8,0,0,1
77863,2373,62,1,1,0,0,0,20,1,4,5,10,2,0,0,0
50353,2180,43,1,1,0,0,0,72,1,4,4,6,3,0,0,1
61839,2845,56,1,0,1,0,0,20,1,4,8,4,8,0,0,0
49154,2397,60,1,1,0,1,1,69,6,4,1,8,6,0,0,1
47682,2658,45,0,0,1,0,0,80,4,4,3,8,5,0,0,1
72679,2443,51,1,0,1,0,0,65,1,4,7,5,1,0,0,0
57954,2170,43,1,1,0,1,1,52,7,8,2,6,7,1,0,0
65316,2590,58,1,1,0,1,1,65,2,3,2,5,4,0,0,0
28567,2536,38,1,0,1,0,0,57,2,2,0,3,6,0,0,1
47352,2603,69,1,1,0,0,1,70,4,6,1,5,7,0,0,1
44931,2321,53,1,1,0,0,1,0,1,2,1,3,5,0,0,1
76982,2293,53,1,0,1,0,0,19,1,8,3,4,4,1,0,0
57247,2484,68,0,1,0,0,1,50,2,2,1,7,2,0,0,0
22944,2347,39,1,0,1,0,0,67,3,3,0,3,7,0,0,1
25315,2393,43,0,1,0,1,0,46,3,3,0,3,8,0,0,1
43638,2851,51,1,0,1,0,0,37,2,4,1,4,7,0,0,1
42710,2737,36,1,0,1,0,0,38,2,4,5,3,6,0,0,1
84169,2485,38,1,1,0,0,0,9,1,7,6,6,3,2,0,0
54058,2549,44,1,1,0,0,1,56,2,4,6,8,3,0,0,0
24683,2272,30,0,1,0,1,0,98,2,2,0,4,5,0,0,1
85620,2332,56,1,0,1,0,0,68,1,3,6,4,1,0,0,0
47850,2367,40,1,1,0,1,0,72,1,3,0,4,6,0,0,1
19514,2313,52,1,1,0,1,1,47,4,3,1,2,8,1,0,1
27159,2251,47,1,1,0,1,1,33,2,1,0,3,6,0,0,1
39548,2249,57,0,0,1,0,0,87,2,1,1,3,3,0,0,1
21474,2241,31,1,0,1,0,0,0,2,3,1,2,7,1,0,1
60504,2301,49,1,0,1,0,0,73,2,6,2,8,6,0,0,0
22419,2596,57,1,1,0,0,0,74,1,3,2,2,8,0,0,1
81698,2394,71,1,1,0,0,0,4,1,3,8,13,1,0,0,0
43462,2814,68,1,1,0,1,1,50,6,4,1,5,8,0,0,1
54880,2644,42,1,0,1,0,0,57,2,6,2,11,5,0,0,0
79908,2609,38,1,1,0,0,0,30,1,5,6,7,2,1,0,0
15315,2489,50,0,1,0,0,0,27,2,2,0,4,5,0,0,1
87771,2562,61,1,1,0,0,1,61,1,5,10,4,6,4,0,0
33039,2452,42,1,1,0,1,0,4,1,2,0,4,5,0,0,1
81741,2537,40,1,0,1,0,0,75,0,6,6,7,2,0,0,0
71499,2528,49,1,1,0,0,1,12,2,8,3,13,4,0,0,0
62466,2324,50,0,1,0,0,1,13,5,6,3,12,4,0,0,0
48799,2395,57,1,0,1,0,0,9,3,3,2,7,3,0,0,1
52157,2181,70,1,1,0,0,1,48,2,3,2,5,4,0,0,0
66565,2730,58,1,0,1,0,0,80,4,4,2,9,8,0,0,0
29298,2454,69,1,1,0,1,1,60,1,1,0,2,5,0,0,1
47691,2518,41,1,0,1,0,0,43,1,1,0,2,6,0,0,1
38200,2728,50,1,1,0,1,1,19,1,1,0,2,7,0,0,1
44989,2814,46,1,1,0,0,1,26,5,5,1,5,6,0,0,1
38443,2312,52,1,1,0,1,1,58,2,1,0,3,7,0,0,1
38593,2448,42,0,0,1,0,0,42,3,4,1,3,8,0,0,1
64413,2491,50,1,1,0,0,1,27,1,5,1,5,5,0,0,0
36959,2429,39,1,1,0,1,0,56,2,2,0,3,8,0,0,1
61996,2673,43,1,1,0,0,1,27,3,6,4,8,5,3,0,0
51287,2248,52,1,1,0,1,1,10,3,4,1,3,7,0,0,1
13260,2469,50,1,1,0,1,1,48,4,3,0,3,8,0,0,1
47472,2445,54,1,1,0,1,1,39,2,2,0,4,5,0,0,1
54603,2514,64,1,1,0,1,1,85,6,4,2,4,7,0,0,0
45207,2755,46,1,1,0,1,1,64,5,3,1,6,6,1,0,1
40689,2627,69,1,1,0,0,1,69,7,7,1,5,8,0,0,1
47821,2411,53,0,1,0,1,1,54,1,1,0,3,8,0,0,1
27450,2599,69,1,1,0,0,0,57,1,2,1,3,7,0,0,1
39453,2246,37,1,1,0,1,0,64,2,2,0,3,6,0,0,1
26850,2231,49,0,1,0,1,1,10,4,2,1,4,4,0,0,1
79800,2803,65,1,0,1,0,0,65,1,5,11,5,3,3,0,0
61794,2447,59,1,1,0,0,1,74,2,4,4,10,2,0,0,0
53863,2202,65,1,1,0,0,1,4,3,7,1,7,7,1,0,0
24221,2472,61,1,1,0,0,0,94,1,1,1,3,4,0,0,1
39684,2784,36,1,0,1,0,0,41,2,2,1,2,7,0,1,1
92163,2723,45,1,1,0,0,0,25,0,5,11,5,2,2,0,0
69882,2390,55,1,0,1,0,0,94,1,3,7,9,1,0,0,0
33178,2309,43,1,1,0,1,0,9,1,1,0,3,4,0,0,1
59973,2450,48,1,1,0,0,0,47,1,3,4,7,1,0,0,0
17459,2442,45,1,1,0,1,0,12,3,3,1,2,7,0,0,1
23910,2770,51,1,0,1,0,0,80,1,2,0,3,7,0,0,1
42169,2412,51,1,1,0,1,1,20,2,1,0,3,8,0,0,1
26224,2549,42,0,1,0,1,0,39,3,2,1,3,6,0,0,1
31089,2840,39,1,1,0,1,0,57,3,3,0,4,8,0,0,1
30081,2652,59,1,0,1,0,0,27,1,1,0,3,7,0,0,1
62807,2826,60,1,1,0,0,1,83,3,5,3,12,5,0,0,0
72906,2444,65,1,0,1,0,0,79,1,3,4,9,1,0,0,0
61467,2726,72,1,1,0,0,2,69,3,5,2,10,5,0,0,0
49618,2678,54,1,1,0,1,1,77,4,3,1,3,7,0,0,1
21888,2706,34,1,0,1,0,0,15,4,5,1,2,10,0,0,1
42429,2297,47,1,0,1,0,0,99,2,1,1,3,5,0,0,1
26150,2634,64,1,0,1,0,0,61,1,1,0,3,7,0,0,1
30801,2770,45,0,1,0,0,1,23,2,1,0,3,7,0,0,1
81168,2212,55,1,1,0,0,0,84,1,6,4,7,3,1,0,0
26877,2473,51,1,0,1,0,0,74,2,3,1,6,6,0,0,1
45006,2505,76,1,0,1,0,0,90,1,3,1,7,3,0,0,1
18978,2724,47,0,1,0,1,0,41,1,1,0,3,8,0,0,1
22574,2403,53,1,1,0,2,1,28,2,2,0,3,7,0,0,1
48240,2756,51,1,0,1,0,0,73,3,6,3,13,5,0,0,1
45837,2497,46,1,1,0,1,1,88,5,6,2,5,7,0,0,1
35791,2578,55,1,0,1,0,0,94,2,1,0,3,8,0,0,1
54162,2627,42,1,0,1,0,0,31,1,1,0,3,4,0,0,0
30522,2840,60,1,1,0,0,1,6,5,1,2,9,2,0,0,1
54456,2512,59,1,1,0,0,1,23,3,6,1,7,6,0,0,0
31632,2509,49,1,0,1,0,0,92,1,2,1,2,7,0,0,1
72298,2270,71,1,0,1,0,0,52,1,4,3,6,1,2,0,0
36975,2342,42,0,0,1,0,0,50,1,1,0,3,7,0,0,1
72635,2550,65,0,1,0,0,0,54,1,6,8,6,3,1,0,0
13624,2684,44,1,1,0,1,0,93,2,2,0,3,6,0,0,1
84196,2550,45,1,0,1,0,0,56,1,8,4,7,3,0,0,0
70971,2805,60,1,1,0,0,1,28,7,11,11,5,7,0,0,0
34487,2820,43,1,0,1,0,0,94,3,3,0,3,9,0,0,1
28769,2717,43,1,0,1,0,0,76,3,4,1,4,9,0,0,1
69084,2381,50,1,1,0,1,0,43,2,7,3,13,8,0,0,0
65488,2175,62,1,1,0,0,0,46,1,3,4,6,1,0,0,0
62466,2324,50,0,1,0,0,1,13,5,6,3,12,4,0,0,0
32218,2293,60,0,0,1,0,0,27,1,2,1,3,7,1,0,1
83917,2596,47,1,0,1,0,0,12,1,6,7,7,3,0,0,0
46102,2270,58,1,0,1,0,0,3,1,1,0,2,7,0,0,1
84574,2549,68,1,0,1,0,0,72,1,9,11,11,5,0,0,0
56181,2696,58,1,1,0,0,1,6,1,4,2,7,4,0,0,0
63120,2798,70,1,0,1,0,0,53,5,8,4,9,7,0,0,0
73691,2394,49,1,1,0,0,1,58,2,6,2,8,2,1,0,0
63381,2791,60,1,1,0,0,1,78,4,4,5,13,2,0,0,0
76140,2206,72,1,1,0,0,0,57,1,5,9,6,2,0,0,0
62859,2705,61,1,0,1,0,0,37,4,9,4,6,6,0,0,0
45906,2577,56,1,0,1,0,0,20,2,5,4,4,5,1,0,1
77632,2635,73,1,1,0,0,0,73,1,4,2,6,2,2,0,0
46463,2474,49,1,1,0,1,1,56,7,3,1,6,6,0,0,1
105471,2683,50,1,1,0,0,0,36,0,9,8,13,3,2,0,0
55282,2357,50,1,0,1,0,0,9,1,3,1,6,4,0,0,0
78710,2196,43,1,1,0,0,1,42,3,7,6,12,4,0,0,0
66886,2445,62,1,1,0,0,1,28,2,7,1,7,5,0,0,0
98777,2291,60,1,0,1,0,0,23,0,4,6,9,1,1,0,0
29103,2830,35,1,1,0,1,0,38,2,1,0,3,9,0,0,1
67445,2845,46,1,1,0,0,1,63,5,9,6,12,6,0,0,0
50616,2236,70,1,1,0,0,1,71,1,1,1,4,2,0,0,1
49431,2854,65,1,0,1,0,0,9,2,7,1,5,8,0,0,1
61278,2335,67,1,1,0,0,1,87,2,3,1,4,6,0,0,0
26490,2804,62,0,1,0,0,0,92,2,3,1,5,6,0,0,1
73059,2461,73,1,1,0,0,1,36,1,9,3,13,4,0,0,0
46734,2410,54,1,0,1,0,0,86,4,3,2,3,6,1,0,1
56253,2728,57,1,1,0,0,1,83,4,7,2,9,6,0,0,0
19986,2386,35,1,1,0,1,0,74,1,0,0,3,7,0,0,1
58330,2345,45,1,0,1,0,0,87,1,6,4,13,4,0,0,0
25965,2819,40,0,1,0,0,0,29,1,2,0,3,8,0,0,1
14661,2703,64,1,1,0,0,0,88,1,1,0,3,6,0,0,1
18690,2707,61,1,1,0,0,0,77,1,1,1,2,8,0,0,1
45068,2568,46,1,1,0,0,1,25,1,1,0,2,7,0,0,1
21063,2436,33,0,0,1,0,0,34,2,2,0,3,6,0,0,1
29187,2575,52,1,1,0,1,0,43,1,1,0,3,8,0,0,1
54690,2393,49,0,1,0,1,1,76,3,3,1,5,3,0,0,0
59304,2494,56,1,1,0,0,1,81,3,7,8,10,5,0,0,0
59247,2392,58,1,0,1,0,0,87,5,5,2,9,6,0,0,0
66731,2814,50,1,0,1,0,0,33,4,4,3,6,3,0,0,0
77353,2354,40,1,1,0,0,1,38,2,6,4,8,4,0,0,0
52614,2734,45,1,0,1,0,0,63,2,2,4,8,8,0,0,0
26751,2197,46,1,1,0,2,0,26,1,1,0,2,8,0,0,1
81300,2766,57,1,1,0,0,1,17,3,10,3,5,5,1,0,0
70337,2337,41,1,0,1,0,0,75,1,2,2,12,1,0,0,0
36145,2537,35,0,1,0,1,0,13,4,4,1,3,9,1,0,1
65295,2347,40,1,0,1,0,0,19,1,3,3,13,2,0,0,0
68118,2413,57,1,0,1,0,0,51,2,8,9,4,6,0,0,0
68743,2827,53,1,0,1,0,0,81,1,11,5,13,7,0,0,0
41039,2498,38,0,1,0,0,0,32,1,8,1,5,8,0,0,1
38946,2407,65,1,1,0,0,1,84,2,3,1,6,5,0,0,1
65777,2351,53,1,1,0,0,0,87,1,2,8,6,1,0,0,0
66476,2638,44,1,0,1,0,0,99,2,5,2,11,4,0,0,0
86857,2814,48,1,0,1,0,0,96,1,5,6,10,2,0,0,0
77845,2203,31,1,1,0,0,0,40,1,3,5,12,1,2,0,0
69476,2431,51,1,1,0,0,0,3,1,4,6,4,2,0,0,0
50611,2792,60,1,0,1,0,0,98,6,4,5,7,6,1,0,1
61209,2467,50,1,0,1,0,0,73,1,5,3,4,2,0,0,0
42315,2511,62,1,1,0,0,1,90,3,1,4,4,3,0,0,1
13084,2398,68,0,1,0,0,0,29,1,1,0,3,6,0,0,1
47570,2555,71,1,0,1,0,0,3,3,2,2,2,7,0,0,1
61923,2497,59,1,1,0,0,2,94,1,2,1,4,3,0,0,0
34824,2254,25,1,0,1,0,0,65,1,1,0,2,6,0,0,1
26518,2606,71,1,0,1,0,0,33,3,2,0,3,8,0,0,1
45938,2397,59,1,0,1,0,0,46,2,8,4,6,6,0,0,1
78468,2240,60,1,1,0,0,0,29,1,10,7,10,4,1,0,0
78901,2444,47,1,0,1,0,0,99,3,9,3,5,4,0,0,0
71427,2268,42,1,1,0,2,0,26,2,8,2,8,4,0,0,0
71022,2297,42,1,0,1,0,0,30,3,5,2,11,8,1,0,0
90247,2220,32,1,0,1,0,0,27,1,3,4,7,1,3,0,0
41335,2344,52,1,0,1,0,0,24,3,4,1,4,7,0,0,1
71952,2694,34,1,1,0,1,0,93,2,8,4,8,4,2,0,0
35682,2161,50,1,0,1,0,0,34,1,1,1,3,2,0,0,1
43185,2604,69,1,0,1,0,0,88,2,9,3,6,8,0,0,1
66375,2379,72,1,1,0,0,1,96,3,2,4,5,7,1,0,0
35178,2694,49,1,1,0,1,0,10,1,1,1,2,7,1,0,1
25252,2511,34,1,1,0,1,0,26,1,1,0,2,8,0,0,1
55250,2775,55,1,0,1,0,0,49,4,7,5,10,5,0,0,0
33249,2653,45,1,0,1,0,0,11,2,2,1,3,6,0,0,1
58398,2570,67,1,1,0,0,0,44,3,5,4,8,4,0,0,0
50272,2485,38,1,1,0,1,0,75,3,4,1,5,7,0,0,1
76618,2728,45,1,1,0,0,0,64,1,3,2,5,1,0,0,0
87305,2803,60,0,0,1,0,0,19,1,5,3,8,2,1,0,0
25851,2662,42,1,1,0,1,0,45,2,2,0,3,7,0,0,1
58710,2614,50,1,0,1,0,0,77,6,11,5,9,6,0,0,0
45160,2251,62,1,0,1,0,0,9,1,1,0,2,7,0,0,1
74806,2716,55,1,1,0,0,1,1,2,5,4,5,4,0,0,0
59111,2582,66,1,1,0,0,0,90,1,11,1,8,7,0,0,0
18988,2196,36,1,1,0,1,0,43,2,1,0,3,7,0,0,1
72190,2660,55,1,1,0,0,0,79,1,5,6,4,3,0,0,0
7500,2856,44,1,1,0,1,0,19,5,4,1,2,9,1,0,1
44794,2180,54,1,1,0,0,1,99,1,2,0,3,6,0,0,1
80395,2377,65,1,1,0,0,0,62,1,6,5,12,2,1,0,0
75012,2314,44,1,0,1,0,0,41,1,3,8,11,1,0,0,0
56962,2420,55,1,1,0,2,1,60,7,6,3,5,7,0,0,0
89891,2599,29,1,1,0,0,0,17,1,11,6,8,4,1,0,0
35946,2434,71,1,0,1,0,0,24,1,0,0,3,5,0,0,1
53593,2850,67,1,1,0,1,1,60,8,7,2,6,8,0,0,0
66373,2541,42,1,1,0,1,1,57,7,4,2,10,3,0,0,0
45072,2415,72,1,0,1,0,0,74,5,6,1,4,8,0,0,1
89694,2422,47,1,0,1,0,0,22,3,4,3,4,5,3,0,0
72025,2220,71,1,1,0,0,0,46,1,4,8,13,2,3,0,0
67432,2616,47,1,1,0,0,1,69,2,8,5,4,4,0,0,0
70545,2185,68,1,1,0,0,1,29,1,4,1,7,2,0,0,0
17487,2627,31,0,1,0,1,0,37,1,1,0,2,7,0,0,1
62882,2848,51,1,1,0,0,1,26,2,7,5,6,4,0,0,0
64108,2622,67,1,0,1,0,0,8,4,6,9,11,5,0,0,0
34941,2639,64,1,1,0,1,1,26,2,3,0,3,8,0,0,1
48767,2338,70,1,0,1,0,0,79,3,2,1,3,5,0,0,1
38702,2491,42,0,1,0,1,0,71,2,3,0,4,6,0,0,1
82224,2314,56,1,1,0,0,0,83,1,6,9,5,3,1,0,0
83844,2572,68,1,1,0,0,0,57,1,4,4,11,1,1,0,0
17003,2361,45,0,1,0,1,0,37,3,2,0,4,5,0,0,1
71163,2271,25,1,0,1,0,0,30,1,3,8,12,1,0,0,0
33697,2446,50,1,0,1,0,0,34,1,1,0,2,7,1,0,1
