"MonthlyIncome","ActiveSinceDays","Age","Graduate","Married","Single","NoOfChildren","NoOfTeenager","NoOfDaysSinceLastPurchase","NoOfDealsWithDiscount","NoOfWebPurchase","NoOfCatalogPurchase","NoOfStorePurchase","NoOfWebVisitsMonth","TotalNoOfCampaignAccepted","CustomerComplain","Cluster"
63564,2310,66,0,1,0,0,0,0,1,10,10,7,6,1,0,0
83443,2339,48,1,1,0,0,0,89,1,6,10,5,2,0,0,0
51518,2428,62,1,1,0,0,1,92,2,3,2,10,3,0,0,1
58330,2345,45,1,0,1,0,0,87,1,6,4,13,4,0,0,0
80952,2645,51,1,1,0,0,0,20,1,8,5,11,8,3,0,0
75507,2217,41,1,1,0,0,0,56,1,8,6,6,3,0,0,0
63855,2664,42,0,1,0,0,0,28,1,7,3,13,4,0,0,0
62220,2846,48,1,1,0,0,1,55,5,7,6,5,6,0,0,0
58512,2442,56,1,1,0,0,1,25,5,3,4,8,8,0,0,0
40662,2630,41,1,1,0,1,0,0,2,2,1,3,4,0,0,1
38829,2243,61,1,1,0,0,1,86,1,3,2,2,5,0,0,1
35523,2428,39,0,1,0,1,0,8,2,3,0,3,7,0,0,1
79146,2225,53,1,0,1,0,0,33,2,8,1,8,6,0,0,0
78285,2403,32,1,1,0,0,0,13,1,6,4,10,3,0,0,0
31626,2574,42,1,0,1,0,0,12,1,2,1,2,7,1,0,1
75127,2197,68,1,0,1,0,0,92,1,2,11,5,1,0,0,0
48726,2587,65,1,1,0,0,1,90,3,3,2,4,6,0,0,1
74985,2815,43,1,1,0,0,0,8,1,3,6,7,2,0,0,0
67430,2821,33,1,1,0,0,0,6,1,11,5,12,6,0,0,0
46891,2460,55,0,1,0,0,1,91,1,2,1,4,4,0,0,1
62058,2558,64,1,1,0,0,1,52,4,6,1,7,6,0,0,0
72063,2520,41,1,1,0,0,1,3,2,5,2,12,2,0,0,0
78939,2358,69,1,1,0,0,0,57,1,8,5,6,3,0,0,0
42720,2590,55,1,0,1,0,0,9,8,7,3,7,8,0,0,1
33622,2601,48,1,1,0,1,1,22,3,2,0,4,7,0,0,1
6835,2727,63,1,1,0,0,1,76,0,0,0,1,20,0,0,1
41452,2639,67,1,1,0,1,1,86,1,1,0,2,7,0,0,1
40760,2462,55,1,0,1,0,0,64,2,2,1,3,6,0,0,1
74250,2313,62,1,1,0,0,0,90,1,2,11,4,1,0,0,0
51124,2352,65,1,0,1,0,0,79,2,1,0,3,3,0,0,1
72258,2449,49,1,0,1,0,0,28,2,6,9,5,2,0,0,0
71466,2244,46,1,0,1,0,0,86,1,4,4,10,1,0,0,0
36283,2235,44,1,1,0,1,1,42,2,1,0,3,4,0,0,1
20587,2208,50,1,0,1,0,0,39,1,1,1,2,7,0,0,1
30467,2261,48,1,1,0,1,0,8,1,1,0,2,7,0,0,1
31590,2535,48,1,1,0,1,0,40,1,1,0,3,8,0,0,1
20425,2767,34,0,1,0,1,0,5,2,2,0,3,7,0,0,1
17144,2293,60,1,1,0,1,1,96,5,3,0,4,7,0,0,1
42564,2702,52,1,0,1,0,0,28,6,6,8,4,7,1,0,1
43783,2190,42,1,1,0,1,0,22,6,7,1,8,7,1,0,1
40780,2818,44,1,0,1,0,0,30,4,7,1,5,9,0,0,1
62847,2689,75,1,1,0,0,0,45,1,3,6,4,2,0,0,0
82017,2758,63,1,1,0,0,0,58,1,5,4,7,2,3,0,0
16813,2504,70,1,0,1,0,0,49,1,2,0,3,7,1,0,1
51267,2402,42,1,1,0,1,1,37,4,3,3,5,4,0,0,1
46524,2609,59,1,0,1,0,0,70,2,1,1,5,3,0,0,1
45183,2684,58,1,0,1,0,0,33,1,4,1,7,7,1,0,1
70421,2160,66,1,1,0,0,1,98,3,10,3,7,6,0,0,0
60161,2773,55,0,0,1,0,0,17,3,11,4,8,8,0,0,0
73926,2643,47,1,1,0,0,0,54,1,6,5,12,3,0,0,0
19329,2356,52,1,1,0,1,0,39,3,4,0,3,8,0,0,1
61872,2357,50,1,1,0,0,1,81,4,4,4,9,4,0,0,0
46984,2619,64,1,0,1,0,0,71,1,1,0,3,5,0,0,1
34838,2685,69,1,1,0,1,1,62,3,2,1,4,6,0,0,1
82716,2395,76,1,0,1,0,0,8,1,6,8,13,2,0,0,0
48192,2608,62,1,1,0,0,0,76,3,2,8,12,8,3,0,1
49681,2396,44,1,1,0,0,2,66,6,7,1,7,7,0,0,1
56850,2257,49,1,1,0,0,1,83,1,1,1,3,2,0,0,0
55267,2410,63,1,1,0,0,1,28,4,3,4,6,3,0,0,0
59666,2623,48,1,1,0,1,1,87,7,3,2,8,8,1,0,0
72504,2608,48,1,0,1,0,0,43,2,5,9,6,2,0,0,0
26872,2415,39,1,1,0,0,0,0,1,1,1,2,6,0,0,1
21359,2594,48,1,0,1,0,0,1,2,2,0,3,8,0,0,1
73170,2188,45,1,0,1,0,0,1,1,5,4,6,2,0,0,0
52750,2669,65,1,1,0,0,1,72,6,5,7,9,4,0,0,0
91820,2377,34,1,1,0,0,0,72,0,5,5,12,1,0,0,0
65968,2207,50,1,1,0,0,1,12,2,5,4,7,3,0,0,0
30772,2268,44,1,1,0,1,1,89,1,1,0,2,6,0,0,1
22507,2741,66,1,0,1,0,0,67,3,10,2,4,9,0,0,1
65685,2251,48,1,1,0,0,1,54,1,9,2,9,5,0,0,0
25804,2460,42,0,1,0,1,0,34,2,2,0,3,8,0,0,1
76412,2579,40,1,0,1,0,0,15,1,5,4,8,3,2,0,0
22063,2484,48,1,1,0,1,0,43,2,2,0,3,7,0,0,1
57091,2173,59,1,0,1,0,0,0,1,7,3,7,5,1,0,0
22419,2596,57,1,1,0,0,0,74,1,3,2,2,8,0,0,1
87771,2562,61,1,1,0,0,1,61,1,5,10,4,6,4,0,0
78353,2598,61,0,0,1,0,0,51,1,10,2,11,8,0,0,0
93404,2577,66,1,1,0,1,2,97,3,3,4,7,5,2,0,0
37859,2692,58,1,0,1,0,0,75,2,1,0,3,8,0,0,1
80995,2573,62,1,0,1,0,0,83,1,8,9,4,4,0,0,0
16529,2279,36,1,1,0,1,0,23,1,1,0,3,6,0,0,1
55412,2378,44,1,0,1,0,0,65,1,2,0,3,5,0,0,0
48789,2816,28,1,0,1,0,0,94,1,6,4,7,6,0,0,1
56575,2579,53,1,1,0,0,2,42,3,7,3,7,5,0,0,0
25130,2429,40,0,1,0,1,0,10,2,2,0,3,7,0,0,1
35441,2659,53,1,1,0,1,1,94,2,1,0,3,8,0,0,1
71391,2616,64,1,1,0,0,1,50,5,6,5,12,3,0,0,0
49494,2589,48,1,0,1,0,0,46,2,6,1,5,7,0,0,1
81702,2803,40,1,0,1,0,0,98,1,7,7,12,3,0,0,0
45889,2521,40,0,0,1,0,0,42,1,1,0,3,6,0,0,1
56628,2259,43,1,0,1,0,0,30,2,7,6,5,5,1,0,0
34026,2487,70,1,1,0,1,1,11,3,2,1,3,5,0,0,1
40049,2736,46,1,1,0,0,1,61,3,3,2,6,5,0,0,1
34176,2207,32,1,0,1,0,0,12,4,3,0,4,6,0,0,1
19419,2755,39,1,1,0,1,0,76,4,4,0,3,9,0,0,1
82504,2496,60,0,1,0,0,0,2,1,3,6,7,1,0,0,0
81205,2326,50,1,1,0,0,0,43,1,5,6,7,2,3,0,0
61618,2797,29,0,0,1,0,0,27,2,3,6,8,3,0,0,0
55284,2711,64,1,0,1,0,0,60,3,7,5,8,5,0,0,0
49980,2408,57,1,0,1,0,0,79,2,3,1,5,5,0,0,1
15072,2574,40,1,1,0,2,0,96,4,3,1,3,5,0,0,1
49166,2540,46,1,0,1,0,0,17,2,5,3,3,6,0,0,1
65324,2328,66,1,1,0,0,1,0,3,6,2,9,4,0,0,0
82347,2759,63,0,1,0,0,0,38,1,7,7,10,3,2,0,0
30843,2193,54,1,1,0,1,1,43,2,1,1,2,5,1,0,1
46374,2263,46,1,1,0,0,1,1,3,7,1,7,8,2,0,1
60474,2613,41,1,0,1,0,0,25,7,10,2,12,7,0,0,0
38576,2276,47,1,1,0,0,1,2,1,1,0,3,7,0,0,1
55357,2654,35,1,1,0,2,0,66,3,6,2,11,5,0,0,0
37758,2792,54,1,1,0,1,1,49,2,1,0,3,8,0,0,1
85710,2579,31,0,1,0,0,0,5,1,6,9,10,2,1,0,0
23228,2313,51,1,1,0,1,0,71,2,2,0,3,8,0,0,1
44602,2293,51,1,1,0,1,1,35,6,6,1,4,8,0,0,1
7500,2695,33,1,1,0,0,0,94,1,0,0,3,6,0,0,1
38683,2792,31,0,1,0,1,0,80,6,4,1,6,7,0,0,1
49514,2353,45,0,0,1,0,0,61,2,6,1,4,7,0,0,1
57906,2542,47,1,1,0,0,1,29,3,4,2,8,4,0,0,0
43456,2619,54,1,0,1,0,0,0,3,5,1,8,5,0,0,1
19485,2437,34,1,0,1,0,0,80,1,1,0,2,7,0,0,1
53172,2578,42,1,1,0,0,1,54,3,2,3,8,3,0,0,0
30545,2779,41,1,1,0,1,0,71,2,2,0,3,7,0,0,1
70123,2433,37,1,1,0,0,0,27,1,5,7,4,3,2,0,0
62450,2333,61,1,0,1,0,0,61,2,5,5,4,3,1,0,0
21675,2177,44,1,1,0,1,0,55,3,4,0,3,7,0,0,1
42395,2245,39,0,0,1,0,0,35,4,3,1,4,7,0,0,1
61346,2425,42,1,1,0,1,0,34,1,5,7,10,3,0,0,0
80812,2444,67,1,1,0,0,0,95,1,4,8,5,2,3,0,0
42835,2523,49,1,0,1,0,0,64,7,6,6,4,6,0,0,1
39922,2659,37,1,1,0,1,0,30,2,3,0,4,8,0,0,1
86424,2244,64,1,0,1,0,0,12,1,6,9,12,1,0,0,0
17117,2687,42,0,1,0,1,0,96,4,3,1,3,9,0,0,1
24762,2298,48,1,0,1,0,0,16,3,3,1,2,8,1,0,1
35797,2780,45,1,1,0,0,1,16,2,2,0,3,8,0,0,1
36627,2500,45,1,0,1,0,0,78,1,0,0,3,5,0,0,1
51111,2169,39,0,1,0,1,1,83,2,2,0,3,6,0,0,1
86857,2814,48,1,0,1,0,0,96,1,5,6,10,2,0,0,0
82072,2521,50,1,1,0,0,0,67,1,3,2,13,1,0,0,0
46231,2739,67,1,0,1,0,0,87,4,6,1,4,9,0,0,1
42243,2359,61,1,1,0,1,1,34,2,2,0,3,7,0,0,1
51195,2613,58,1,1,0,1,1,46,8,9,2,5,8,0,0,1
68092,2354,42,1,0,1,0,0,7,2,2,6,10,5,0,0,0
31814,2664,47,1,1,0,1,0,73,2,2,0,3,9,1,0,1
51390,2818,55,1,0,1,0,0,54,6,5,2,5,5,0,0,1
76630,2325,37,1,1,0,0,0,93,1,3,10,11,1,0,0,0
26868,2219,29,0,0,1,0,0,52,1,1,0,2,7,0,0,1
48948,2672,77,1,0,1,0,0,53,2,7,10,5,6,1,0,1
55260,2723,48,1,0,1,0,0,81,2,8,10,5,6,0,0,0
64090,2485,64,1,1,0,0,1,8,1,6,9,4,5,0,0,0
78331,2316,62,1,0,1,0,0,97,2,10,6,7,4,0,0,0
37087,2481,46,1,1,0,1,0,50,3,4,2,8,6,0,0,1
21846,2409,34,1,0,1,0,0,38,4,4,0,3,8,0,0,1
81320,2667,62,1,1,0,0,0,61,1,4,3,10,2,0,0,0
54137,2476,50,1,0,1,0,0,46,2,4,1,4,6,0,0,0
66825,2509,53,1,1,0,0,0,73,1,4,5,6,2,0,0,0
57100,2366,47,1,1,0,0,0,19,1,3,3,6,3,0,0,0
58917,2621,51,1,1,0,1,2,10,5,4,1,6,5,0,0,0
85072,2240,43,1,0,1,0,0,94,1,3,4,10,0,0,0,0
86429,2379,59,1,0,1,0,0,10,0,7,4,7,2,1,0,0
45684,2368,49,1,0,1,0,0,37,1,1,0,2,7,0,0,1
47889,2335,46,1,1,0,1,0,94,1,2,0,3,5,0,0,1
45921,2270,34,1,1,0,0,0,23,1,2,1,6,4,0,0,1
78420,2524,54,1,0,1,0,0,75,1,3,10,8,1,0,0,0
75114,2393,28,1,1,0,0,0,40,1,3,10,5,2,0,0,0
52278,2679,57,1,0,1,0,0,24,6,10,5,10,8,0,0,0
35641,2509,48,1,1,0,1,0,11,2,3,1,4,7,0,0,1
95529,2732,26,1,0,1,0,0,29,1,7,3,7,3,1,0,0
62820,2573,66,1,1,0,0,0,51,1,3,4,6,1,0,0,0
73113,2344,60,1,1,0,0,0,86,1,3,4,7,2,0,0,0
84169,2485,38,1,1,0,0,0,9,1,7,6,6,3,2,0,0
42607,2383,66,0,0,1,0,0,30,2,3,2,7,3,0,0,1
74637,2566,66,1,0,1,0,0,73,1,6,9,9,3,1,0,0
46015,2236,65,1,1,0,1,1,25,1,1,0,3,7,2,0,1
72354,2597,27,1,0,1,0,0,67,1,2,10,6,1,0,0,0
39858,2680,51,1,0,1,0,0,67,1,2,0,4,6,0,0,1
34469,2215,72,1,1,0,1,1,58,3,1,1,4,4,0,0,1
83033,2201,34,1,1,0,1,0,82,1,11,4,10,5,1,0,0
24401,2826,41,1,1,0,0,0,98,3,6,1,6,8,0,0,1
77583,2298,42,1,1,0,0,0,93,1,4,5,9,2,1,0,0
74116,2340,38,0,0,1,0,0,53,1,4,4,10,2,1,0,0
74293,2215,27,1,0,1,0,0,66,1,5,4,6,2,0,0,0
68397,2383,44,1,1,0,0,1,6,1,6,9,5,3,0,0,0
79632,2241,46,1,1,0,0,0,42,1,6,4,9,2,0,0,0
46107,2298,31,1,0,1,0,0,78,1,1,1,4,3,0,0,1
64950,2845,69,1,0,1,0,0,29,2,11,2,10,7,1,0,0
25443,2713,31,0,1,0,1,0,82,1,1,0,3,8,0,0,1
75127,2197,68,1,0,1,0,0,92,1,2,11,5,1,0,0,0
32892,2194,49,1,1,0,1,0,78,2,3,0,3,8,0,0,1
71796,2407,49,1,1,0,0,0,54,1,9,3,4,4,0,0,0
67536,2562,50,1,1,0,0,1,45,3,11,5,11,8,1,0,0
55239,2509,49,1,0,1,0,0,59,3,7,5,11,5,0,0,0
60554,2483,45,1,0,1,0,0,8,2,8,4,9,6,0,0,0
64831,2543,68,0,0,1,0,0,51,8,6,3,5,6,0,0,0
56067,2503,58,1,1,0,0,1,51,2,7,4,7,5,0,0,0
82025,2556,37,1,0,1,0,0,76,1,3,2,6,1,1,0,0
94384,2641,67,1,1,0,0,0,62,0,5,8,5,2,3,0,0
14906,2713,34,0,0,1,0,0,86,3,2,1,3,7,0,0,1
51563,2795,33,1,1,0,0,0,60,1,4,4,10,8,2,0,1
57937,2292,38,0,1,0,0,1,56,3,4,4,9,3,0,0,0
68274,2431,41,1,0,1,0,0,83,2,4,2,5,3,0,0,0
39771,2364,43,1,1,0,1,0,92,1,2,0,3,4,0,0,1
67893,2795,45,0,0,1,0,0,31,2,3,2,9,8,0,0,0
27922,2209,41,1,1,0,1,0,80,1,2,0,3,4,0,0,1
52190,2211,44,1,1,0,1,1,39,3,2,1,3,5,1,0,0
44051,2675,47,1,0,1,0,0,20,4,3,1,4,6,0,0,1
42767,2573,49,1,0,1,0,0,53,1,3,1,2,8,0,0,1
46106,2208,44,1,1,0,1,1,84,1,1,1,2,6,0,0,1
16927,2663,44,1,1,0,1,1,50,5,3,0,4,8,0,0,1
59754,2734,55,1,1,0,0,1,96,3,5,2,6,5,0,0,0
53700,2840,68,1,0,1,0,0,94,4,5,5,8,5,0,0,0
59041,2212,47,1,1,0,1,1,25,2,2,0,4,5,0,0,0
54237,2587,63,1,0,1,0,0,48,4,5,2,5,6,0,0,0
70647,2805,53,1,0,1,0,0,65,2,4,7,13,2,0,0,0
52597,2212,58,1,0,1,0,0,69,3,6,3,8,5,0,0,0
41021,2705,51,1,1,0,1,0,12,2,2,0,3,6,0,0,1
40233,2417,45,1,1,0,0,1,84,5,2,1,5,6,0,0,1
50183,2163,40,1,1,0,1,1,47,7,3,1,6,5,0,0,1
54753,2449,61,1,1,0,0,1,87,3,5,2,11,4,0,0,0
92955,2473,47,1,1,0,0,0,35,1,6,7,9,2,2,0,0
33471,2784,47,1,1,0,1,0,47,3,3,0,4,7,0,0,1
34596,2601,46,1,1,0,1,0,48,1,1,0,2,8,0,0,1
44010,2783,40,1,1,0,1,0,46,6,10,2,6,9,0,0,1
84219,2306,32,1,1,0,0,0,27,1,3,4,10,1,0,0,0
40706,2687,52,1,1,0,2,1,37,4,3,0,4,7,0,0,1
15716,2753,32,0,1,0,1,0,8,3,3,0,4,8,0,1,1
59052,2383,61,0,0,1,0,0,29,3,7,1,7,5,0,0,0
80573,2782,49,1,1,0,0,0,85,1,4,6,13,2,0,0,0
83715,2305,58,1,1,0,0,0,2,1,2,8,13,0,0,0,0
82576,2856,61,1,1,0,0,0,66,1,2,4,12,1,1,0,0
56962,2420,55,1,1,0,2,1,60,7,6,3,5,7,0,0,0
35704,2336,68,1,1,0,1,1,54,3,2,0,4,4,0,0,1
53103,2449,66,1,1,0,0,1,70,5,10,6,7,7,1,0,0
46779,2511,60,0,0,1,0,0,55,1,0,1,2,4,0,0,1
4861,2166,55,1,0,1,0,0,20,0,0,0,0,14,0,0,1
33462,2485,41,1,0,1,0,0,78,1,2,0,3,7,0,0,1
63693,2417,42,1,0,1,0,0,63,3,11,6,9,6,0,0,0
80763,2477,70,1,1,0,0,0,17,1,5,11,6,3,2,0,0
65352,2471,46,1,1,0,0,1,43,2,4,2,8,4,0,0,0
82170,2375,42,1,1,0,0,0,13,1,5,6,7,2,0,0,0
75759,2406,51,1,1,0,0,0,46,1,9,7,9,5,3,0,0
79689,2572,44,0,0,1,0,0,65,1,4,9,13,2,0,0,0
35340,2159,64,1,0,1,0,0,1,2,2,0,3,5,0,0,1
85683,2259,66,1,0,1,0,0,6,1,2,4,10,1,4,0,0
24884,2736,48,0,1,0,1,0,32,1,0,0,3,7,0,0,1
42021,2826,39,1,1,0,1,0,34,5,10,1,6,9,1,0,1
64449,2290,31,1,0,1,0,0,70,4,5,3,12,4,0,0,0
64587,2166,66,1,0,1,0,0,49,2,1,1,4,3,0,0,0
34824,2254,25,1,0,1,0,0,65,1,1,0,2,6,0,0,1
75437,2391,42,1,1,0,0,0,25,1,8,4,10,6,1,0,0
26091,2283,63,1,1,0,1,1,84,3,2,1,3,5,0,0,1
52845,2479,47,1,1,0,1,0,7,3,8,8,6,6,1,0,0
46086,2397,64,1,0,1,0,0,34,4,3,1,8,4,0,0,1
78028,2816,64,1,0,1,0,0,38,1,6,4,9,7,2,0,0
95169,2422,33,1,0,1,0,0,1,1,4,3,4,1,2,0,0
56337,2618,39,0,1,0,1,1,25,5,8,5,4,8,2,0,0
22434,2660,33,1,1,0,1,0,25,2,2,0,3,8,0,0,1
36930,2567,66,1,1,0,0,1,50,5,5,2,4,8,0,0,1
36130,2671,66,1,0,1,0,0,46,6,3,8,4,4,1,0,1
65569,2760,67,1,1,0,0,1,96,2,6,5,10,3,0,0,0
83844,2572,68,1,1,0,0,0,57,1,4,4,11,1,1,0,0
19514,2313,52,1,1,0,1,1,47,4,3,1,2,8,1,0,1
36736,2574,57,1,0,1,0,0,52,1,1,0,2,6,0,0,1
77568,2832,41,1,1,0,0,1,30,1,10,2,8,5,3,0,0
49187,2328,44,1,1,0,0,1,63,1,1,1,5,2,0,0,1
30168,2638,42,1,0,1,0,0,51,7,6,1,4,9,0,0,1
34053,2816,52,1,1,0,0,1,14,1,3,0,3,8,0,0,1
38196,2231,49,1,1,0,1,1,20,3,2,0,4,5,0,0,1
59412,2230,69,1,1,0,0,0,56,1,4,2,8,3,0,0,0
70924,2242,55,0,1,0,0,0,41,1,6,6,7,3,1,0,0
54165,2556,51,1,1,0,0,0,72,1,2,1,7,2,0,0,0
32300,2701,47,1,1,0,1,0,1,1,1,0,3,8,0,0,1
20180,2653,44,1,0,1,0,0,27,1,2,1,4,7,0,0,1
34961,2169,47,1,1,0,1,0,77,3,3,1,3,7,0,0,1
28440,2516,46,1,1,0,1,0,87,1,2,0,3,8,0,0,1
64504,2641,67,1,1,0,1,2,81,7,11,3,4,7,0,0,0
33564,2164,54,1,1,0,0,1,51,1,1,1,3,5,0,0,1
17345,2762,42,1,1,0,1,0,79,2,2,1,2,8,0,0,1
56320,2606,53,1,1,0,0,1,11,3,5,4,9,4,0,0,0
28647,2471,42,1,0,1,0,0,54,1,2,2,2,7,1,0,1
15038,2675,33,0,0,1,0,0,93,2,2,1,2,9,0,0,1
32173,2491,62,1,0,1,0,0,0,1,1,0,3,4,0,0,1
68316,2761,56,0,1,0,0,1,54,5,10,7,10,6,0,0,0
74538,2524,49,1,1,0,0,0,21,1,8,8,5,3,1,0,0
91700,2687,49,1,0,1,0,0,58,1,8,6,5,3,0,0,0
68695,2163,51,1,1,0,0,0,3,1,4,4,7,2,0,0,0
31056,2682,43,0,1,0,1,0,99,1,1,0,3,8,0,0,1
79593,2207,47,1,1,0,0,0,70,1,5,6,7,2,1,0,0
28071,2828,40,1,0,1,0,0,65,2,5,1,5,8,0,0,1
37334,2282,62,1,1,0,1,1,44,4,3,0,4,4,0,0,1
46423,2443,48,1,0,1,0,0,6,3,2,0,4,7,0,0,1
37126,2250,49,1,1,0,1,0,9,1,1,2,2,6,1,0,1
47703,2555,67,1,1,0,0,1,95,4,6,3,8,5,0,0,1
61180,2226,61,1,1,0,0,1,70,2,5,5,6,3,1,0,0
38998,2762,66,1,1,0,1,1,92,3,2,0,3,8,0,1,1
8028,2808,29,1,0,1,0,0,62,15,0,1,0,19,0,0,1
76081,2196,58,1,1,0,0,0,85,1,4,5,4,2,1,0,0
34728,2493,34,1,1,0,1,0,2,1,1,1,2,6,0,0,1
33168,2783,55,1,0,1,0,0,0,3,2,1,4,7,0,0,1
33585,2436,54,1,1,0,0,1,91,1,2,0,4,4,0,0,1
77037,2418,60,1,1,0,0,1,3,1,7,7,12,3,0,0,0
35196,2752,36,1,1,0,1,0,68,6,6,1,5,8,0,0,1
44529,2518,54,1,1,0,0,1,98,6,6,2,11,5,1,0,1
70924,2242,55,0,1,0,0,0,41,1,6,6,7,3,1,0,0
28764,2183,54,1,1,0,1,1,16,1,1,0,2,8,1,0,1
69098,2657,71,1,1,0,0,0,82,1,7,8,9,5,0,0,0
25959,2659,50,0,0,1,0,0,1,2,1,2,2,6,0,0,1
27100,2609,37,1,1,0,1,0,64,1,1,0,3,7,0,0,1
70596,2791,35,1,0,1,0,0,68,1,3,5,12,2,0,0,0
42557,2828,46,1,1,0,0,1,98,4,6,1,4,8,0,0,1
53312,2483,69,1,1,0,0,0,32,1,5,1,5,7,0,0,0
72228,2738,68,1,0,1,0,0,87,1,6,7,8,3,0,0,0
67605,2614,33,1,1,0,0,0,84,1,2,8,6,1,0,0,0
62845,2795,71,1,1,0,1,1,3,11,3,4,10,8,1,0,0
65196,2498,62,1,1,0,0,2,34,2,7,6,11,5,1,0,0
42000,2694,33,1,0,1,0,0,23,2,5,2,11,5,0,0,1
35860,2200,47,1,0,1,0,0,37,2,1,1,2,5,1,0,1
65526,2238,56,1,1,0,0,1,22,1,4,4,8,2,0,0,0
16860,2814,59,1,1,0,1,1,19,3,1,1,3,7,0,0,1
83528,2218,28,1,0,1,0,0,7,1,4,10,8,1,2,0,0
64176,2854,55,0,0,1,0,0,52,8,8,9,8,6,0,0,0
22304,2853,64,1,0,1,0,0,91,1,1,0,2,8,0,0,1
67023,2276,42,1,1,0,0,0,93,1,3,7,13,2,0,1,0
32892,2194,49,1,1,0,1,0,78,2,3,0,3,8,0,0,1
70713,2732,54,1,1,0,0,1,23,6,5,6,8,3,0,0,0
59925,2735,65,1,1,0,0,1,83,3,9,2,9,6,0,0,0
39722,2284,67,1,1,0,0,1,92,2,2,0,3,5,0,0,1
46610,2505,62,1,1,0,0,0,4,1,6,1,6,6,0,0,1
88347,2520,59,1,1,0,0,0,32,1,4,7,9,1,1,0,0
87171,2583,39,1,1,0,0,0,27,1,6,7,11,2,2,0,0
26907,2472,44,0,1,0,1,1,10,2,1,0,3,7,0,0,1
50014,2317,52,1,0,1,0,0,9,2,4,1,8,5,0,0,1
41014,2592,42,1,1,0,1,0,65,1,1,0,2,7,0,0,1
66294,2263,55,1,0,1,0,0,68,1,4,3,5,2,0,0,0
36715,2748,49,1,1,0,1,0,16,6,7,2,4,9,0,0,1
79456,2835,64,1,1,0,0,0,12,1,5,6,4,3,0,0,0
40479,2475,38,1,1,0,1,0,95,1,0,0,3,4,0,0,1
75345,2671,50,1,0,1,0,0,16,1,5,8,6,3,1,0,0
54233,2669,43,1,1,0,0,1,46,4,11,6,5,8,0,0,0
24163,2419,50,1,0,1,0,0,3,2,1,0,3,4,0,0,1
84460,2700,62,1,1,0,0,0,80,0,9,9,4,5,4,0,0
43776,2216,37,1,1,0,1,0,77,1,1,0,2,6,0,0,1
71691,2263,62,1,0,1,0,0,0,1,4,7,5,2,0,0,0
85844,2190,47,1,1,0,0,0,62,1,6,6,7,2,1,0,0
39190,2223,46,1,0,1,0,0,91,2,2,1,4,5,0,0,1
71367,2469,61,1,1,0,0,0,24,1,4,5,7,2,0,0,0
38578,2531,48,1,0,1,0,0,2,3,3,0,3,8,0,0,1
57236,2268,55,1,1,0,1,1,22,3,2,1,4,3,0,0,0
61825,2485,41,1,0,1,0,0,56,1,4,2,8,4,0,0,0
79803,2186,62,1,0,1,0,0,54,1,4,3,5,1,0,0,0
80910,2765,34,0,0,1,0,0,71,1,3,3,8,1,0,0,0
27590,2591,38,1,1,0,1,0,38,1,1,0,2,7,0,0,1
56775,2702,41,1,1,0,0,1,62,2,5,8,10,5,0,0,0
83829,2423,45,1,0,1,0,0,78,0,4,7,6,1,3,0,0
54210,2564,41,0,1,0,0,1,18,2,4,1,7,5,0,0,0
38508,2490,34,1,1,0,1,0,95,6,7,2,5,8,0,0,1
53187,2405,50,1,1,0,1,0,66,2,4,1,6,5,0,0,0
30023,2256,48,1,1,0,1,0,28,1,2,0,3,8,0,0,1
76045,2385,60,1,0,1,0,0,78,1,4,5,11,2,1,0,0
50870,2169,68,1,1,0,0,1,13,1,2,0,3,5,0,0,1
15315,2489,50,0,1,0,0,0,27,2,2,0,4,5,0,0,1
65463,2309,46,0,1,0,1,0,17,2,6,2,9,5,1,0,0
66480,2188,55,1,1,0,1,1,71,7,4,1,7,4,0,0,0
76773,2648,66,1,0,1,0,0,79,1,2,2,11,1,0,0,0
81698,2644,37,0,0,1,0,0,1,1,8,2,5,5,1,0,0
54466,2299,47,1,0,1,0,0,78,1,1,0,2,5,0,0,0
98777,2291,60,1,0,1,0,0,23,0,4,6,9,1,1,0,0
16269,2462,36,1,0,1,0,0,75,3,3,0,3,8,0,0,1
71819,2464,49,1,1,0,0,1,70,3,3,3,5,6,2,0,0
33569,2415,37,1,1,0,1,0,10,1,1,1,2,8,1,0,1
36262,2441,37,1,1,0,0,0,24,1,3,5,3,6,1,0,1
